User-ID,Location,Age
165, usa,62
1409, usa,74
3344, usa,61
3556, usa,68
3977, usa,63
4091, usa,77
4197, usa,61
5439, usa,66
6577, usa,62
8782, canada,239
8872, usa,65
8930, usa,78
9141, usa,65
10030, usa,66
10067, england,61
12692, usa,151
13273, usa,201
14449, canada,72
15822, canada,61
16730, canada,71
16749, usa,64
17177, usa,67
17906, usa,61
19503, usa,61
19570, usa,63
19573, usa,69
20230, usa,80
21202, usa,67
21515, usa,74
24685, usa,62
25105, canada,62
25261, usa,67
25395, usa,65
26371, canada,65
26516, usa,67
28091, usa,128
28204, canada,61
28257, usa,71
28373, united kingdom,101
28592, usa,66
28700,Global,61
28877, usa,68
28899, usa,69
29867, usa,62
29888, usa,65
30645, usa,64
30968, usa,65
30971, usa,67
31343, usa,75
31714, canada,64
32275, usa,73
32289, usa,64
34657, usa,70
35144, usa,69
35793, usa,76
36935, usa,62
38991, usa,68
39372, usa,68
39523, usa,77
41634, usa,63
41676, usa,68
42573,Global,78
42847, usa,71
44756, usa,62
45287, usa,72
50205, usa,62
51545, usa,67
51655, usa,73
52293, usa,61
52472, usa,209
52853, usa,61
55655, usa,70
56201, usa,65
56399, united kingdom,63
57369, usa,63
58363, usa,81
59933, canada,66
61211, usa,65
61901, usa,63
61935, usa,70
62069, usa,68
62348, usa,67
62511, usa,65
62926, usa,66
64743, usa,65
65068, usa,61
66680, usa,67
66960, belgium,103
68240, usa,64
68272, usa,64
68537, usa,70
68854, usa,69
69929, usa,71
70192, usa,61
71193, usa,61
71223,Global,62
71470, canada,62
71800, usa,136
72005, usa,66
72575, usa,103
74106, usa,64
74453, usa,61
76173, canada,71
76482, usa,103
76976, usa,68
77816, usa,72
80119, canada,63
80776, usa,65
82657, usa,62
83306, canada,69
83383, usa,67
83754, usa,65
88389, usa,77
88652, usa,83
88993, canada,76
89059, usa,62
89307, usa,61
89945, usa,73
90766, burma,136
91058, usa,63
93105, usa,63
93130, canada,61
93427, usa,69
93565,Global,72
93698, canada,70
93769, usa,74
93985, usa,65
94213, usa,80
94264,Global,69
94396, usa,62
94978, usa,62
95128, usa,67
95193, usa,69
95452, usa,76
95800, usa,68
98655, usa,70
101299,Global,76
101304, usa,68
102284, usa,71
102772, usa,74
104144, usa,65
104334, usa,65
107960, usa,63
108261, usa,66
109276, usa,62
109971, usa,71
111924, usa,61
112199, usa,72
113531, usa,63
114865, australia,97
116630, usa,61
116746, usa,66
116763, usa,71
117132, usa,66
118627, usa,62
121176, usa,62
121594, usa,63
121726, australia,148
123228, usa,61
123510, usa,65
130166, usa,69
130168, canada,62
130658,Global,90
132374, usa,73
132716, usa,61
135330, usa,61
135959, usa,66
136357, usa,152
136584, usa,62
137136, usa,80
137282, usa,61
138826, usa,61
141065, canada,76
142024, canada,61
142212, usa,64
142565, usa,61
145330, usa,61
145451, usa,63
146890, usa,64
147680,Global,76
147803, united kingdom,64
148344, usa,79
148744, usa,67
148986, usa,62
150587, usa,61
152309, usa,71
152514, usa,61
153105, usa,74
154610, canada,68
154781, usa,62
155580, usa,61
158606, usa,72
158791, usa,72
159283, united kingdom,66
160994, usa,65
165268, usa,73
166327,Global,66
166409, usa,63
166581, usa,70
167657, usa,62
168639, usa,62
168719, usa,61
169357, usa,64
169964, usa,61
170319, usa,69
170518, usa,61
170997, usa,66
173481, usa,69
175101, usa,61
175892,Global,71
178035, canada,81
178322, usa,66
178458,Global,66
179075, usa,82
179280, usa,61
180042, canada,63
180495, usa,80
182527, usa,62
183015, usa,103
183103, usa,66
183952, usa,68
184305,Global,64
184513, usa,61
187145, usa,65
187232, usa,83
187266, usa,66
187410, usa,100
188659, usa,61
188668, usa,65
189066, canada,70
189463, usa,64
190318, usa,62
191188, usa,80
191694, usa,62
192203, usa,64
192387, usa,70
194027, canada,63
194606, usa,63
196050, usa,68
196527, italy,61
196891, usa,63
197828, usa,61
198711, usa,62
198767, usa,65
198996, usa,62
199416,Global,65
199857, canada,66
202346, usa,66
202885, usa,62
203392, usa,62
203742, mexico,64
204316, usa,64
204660, usa,63
205059, india,69
205922, canada,61
208665, usa,69
210276,Global,67
210838, usa,66
212467, usa,62
212859, usa,61
213150, usa,103
213531, usa,63
213953, canada,68
213998, usa,68
214042, canada,63
214138, usa,79
214212, usa,78
214348, usa,66
214890, united kingdom,62
217292,Global,75
219924, usa,64
222152, usa,78
224150, usa,68
224764, usa,116
224809, usa,61
225163, usa,66
225710, usa,65
225867, usa,93
226026, canada,71
226616, usa,204
226998, usa,65
228455, usa,76
228738, usa,65
231241, usa,62
236840, usa,72
237064,Global,68
237275, usa,69
237310, usa,74
237805, usa,67
238568, usa,66
240401, usa,64
240745, usa,74
241531, italy,67
241565, usa,64
242891, usa,84
243448, usa,62
243929,Global,63
244452, usa,61
246088, canada,67
246933, usa,67
248221, usa,62
249187, usa,62
249401, usa,76
249634, usa,66
249650, usa,65
250101, usa,61
250725, canada,68
277157, usa,70
277439, usa,65
277523, usa,62
277938, usa,63
278586, usa,63
